sample_index,datetime,source,cluster_id,is_noise
354,2022-05-07T05:28:01.807417+00:00,REG,38,False
355,2023-11-14T20:14:46.537688+00:00,FILE,3,False
356,2023-11-15T18:49:45.303499+00:00,FILE,52,False
357,2023-11-15T17:48:57.771685+00:00,EVT,62,False
358,2022-05-07T05:33:07.326764+00:00,REG,79,False
359,2022-09-25T02:34:54.428648+00:00,FILE,3,False
360,2023-11-14T20:35:41.655879+00:00,FILE,11,False
361,2023-11-15T17:49:51.488844+00:00,FILE,11,False
362,2023-11-15T18:57:04.637202+00:00,FILE,76,False
363,2022-05-07T05:24:51.452430+00:00,FILE,3,False
364,2022-05-07T05:28:00.119823+00:00,REG,2,False
365,2023-10-19T04:09:11.533583+00:00,REG,78,False
366,2022-09-25T02:42:07.146483+00:00,REG,46,False
367,2023-11-16T01:35:08.607976+00:00,FILE,11,False
368,2023-11-16T01:39:25.316488+00:00,FILE,11,False
369,2023-11-16T01:37:09.489303+00:00,FILE,11,False
370,2023-12-26T00:18:59.363313+00:00,EVT,30,False
371,2023-12-26T15:13:48.895593+00:00,FILE,11,False
372,2022-09-25T02:34:28.912895+00:00,REG,22,False
373,2022-05-07T05:27:59.994818+00:00,REG,16,False
374,2023-11-15T18:40:49.226928+00:00,FILE,80,False
375,2023-11-15T18:40:48.108976+00:00,FILE,46,False
376,2023-11-15T18:51:19.299142+00:00,FILE,27,False
377,2023-11-15T18:47:46.642300+00:00,FILE,51,False
378,2023-11-16T01:35:30.785296+00:00,FILE,11,False
379,2023-11-15T18:50:24.871826+00:00,REG,81,False
380,2022-05-07T07:29:39.404770+00:00,FILE,11,False
381,2023-11-15T18:44:21.702160+00:00,REG,46,False
382,2022-05-07T05:18:00.493040+00:00,FILE,11,False
383,2023-11-15T17:58:25.251725+00:00,REG,29,False
384,2023-11-15T19:00:49.577873+00:00,FILE,50,False
385,2023-11-15T17:55:30.935191+00:00,REG,19,False
386,2023-11-16T01:36:22.921724+00:00,FILE,11,False
387,2023-11-15T18:42:50.942049+00:00,FILE,5,False
388,2023-12-26T00:20:40.883955+00:00,FILE,9,False
389,2023-12-26T00:18:56.707802+00:00,FILE,3,False
390,2023-11-16T01:37:20.613208+00:00,FILE,11,False
391,2023-11-14T20:13:53.308904+00:00,FILE,11,False
392,2023-11-15T18:35:44.722152+00:00,FILE,80,False
393,2023-11-15T18:52:27.441061+00:00,FILE,33,False
394,2022-05-07T05:28:02.823071+00:00,REG,86,False
395,2022-05-07T05:25:10.483920+00:00,REG,46,False
396,2023-11-15T18:56:12.648399+00:00,FILE,13,False
397,2023-11-15T18:50:56.166157+00:00,FILE,63,False
398,2023-11-15T18:51:01.613209+00:00,REG,81,False
399,2023-11-15T18:41:44.749482+00:00,FILE,80,False
400,2016-06-12T07:14:40.000000+00:00,FILE,1,False
401,2022-09-25T02:30:49.498937+00:00,FILE,11,False
402,2023-11-15T18:48:02.518321+00:00,FILE,13,False
403,2023-11-15T18:56:01.774150+00:00,FILE,53,False
404,2023-11-14T20:38:16.345977+00:00,REG,91,False
405,2023-11-15T18:40:49.226928+00:00,FILE,5,False
406,2022-05-07T07:37:11.803058+00:00,REG,17,False
407,2023-12-26T00:18:51.562030+00:00,EVT,48,False
408,2022-05-07T07:44:20.232923+00:00,FILE,9,False
409,2023-11-15T18:50:59.131940+00:00,FILE,67,False
410,2023-11-15T18:44:07.547431+00:00,REG,35,False
411,2022-05-07T05:19:11.672217+00:00,FILE,11,False
412,2023-11-15T18:50:26.523267+00:00,FILE,0,False
413,2016-06-12T07:13:52.000000+00:00,FILE,1,False
414,2023-11-15T17:55:31.686210+00:00,REG,29,False
415,2023-11-15T18:50:26.725320+00:00,FILE,87,False
416,2022-05-07T05:27:58.479129+00:00,REG,95,False
417,2022-05-07T07:35:25.372020+00:00,FILE,11,False
418,2023-11-15T18:56:55.862471+00:00,FILE,1,False
419,2023-11-15T18:51:21.739500+00:00,FILE,68,False
420,2023-11-14T20:16:43.214978+00:00,FILE,3,False
421,2023-11-14T20:09:05.335011+00:00,FILE,11,False
422,2022-09-24T18:12:38.000000+00:00,FILE,11,False
423,2023-11-15T18:42:38.157128+00:00,FILE,80,False
424,2022-05-07T05:27:58.869771+00:00,REG,2,False
