representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,bic,aic,inertia,silhouette_all,calinski_harabasz_all,davies_bouldin_all
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 0.001}",3.996,,100,0,0.0,0.7480902075767517,2915.956050902722,1.4399756584946943,-7780022.790044113,-7869093.730938372,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-05}",3.635,,100,0,0.0,0.7334853410720825,2538.2179845469104,1.4814731541762516,-14695780.022347108,-14784850.963241369,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 100, ""reg_covar"": 1e-06}",5.741,,100,0,0.0,0.7265139818191528,2466.5392517618484,1.456459421208995,-18011069.284011345,-18100140.224905606,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 15, ""reg_covar"": 0.0001}",0.891,,15,0,0.0,0.2393284142017364,1322.239560212229,2.4919090650339224,-4324207.394735741,-4337560.539058339,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 15, ""reg_covar"": 0.001}",0.944,,15,0,0.0,0.2405106127262115,1340.024452190444,2.4784331716737835,-2796681.427410639,-2810034.571733236,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 15, ""reg_covar"": 1e-05}",0.879,,15,0,0.0,0.2386173754930496,1320.317544531887,2.4930452367148512,-5175765.192884342,-5189118.337206939,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 15, ""reg_covar"": 1e-06}",0.902,,15,0,0.0,0.238525390625,1319.5129362490604,2.494193333328967,-5520951.608004984,-5534304.752327582,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 2, ""reg_covar"": 0.0001}",0.199,,2,0,0.0,0.1120800524950027,1527.6416641138762,4.130195871695704,560436.3960293079,558663.6205941414,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 2, ""reg_covar"": 0.001}",0.199,,2,0,0.0,0.1120800524950027,1527.7969890220702,4.130066603456842,1535018.7510962095,1533245.9756610433,,,,
tfidf,gmm,42,"{""covariance_type"": ""diag"", ""n_components"": 2, ""reg_covar"": 1e-05}",0.201,,2,0,0.0,0.1120800524950027,1527.6416641138762,4.130195871695704,150803.4328889964,149030.65745382995,,,,
