representation,clustering_method,seed,params,clustering_time_s,error,n_clusters,noise_count,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,silhouette_all,calinski_harabasz_all,davies_bouldin_all,inertia,bic,aic,stage_dir,parameter_value,parameter_type,parameter_note
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 0.001}",4.086,,50,0,0.0,0.5379942655563354,1026.788037902604,2.822873298082764,,,,,-3519344.804391323,-3563875.8649493107,primary_k_sensitivity_seed101,50,n_components,Explicit k/n_components sensitivity value.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-05}",4.774,,50,0,0.0,0.5373889803886414,1017.666681611225,2.854793616484246,,,,,-7892880.371081544,-7937411.431639532,primary_k_sensitivity_seed101,50,n_components,Explicit k/n_components sensitivity value.
word2vec,gmm,101,"{""covariance_type"": ""diag"", ""n_components"": 50, ""reg_covar"": 1e-06}",4.5,,50,0,0.0,0.5373843908309937,1017.6612229682712,2.854766239078645,,,,,-9948695.938308338,-9993226.998866323,primary_k_sensitivity_seed101,50,n_components,Explicit k/n_components sensitivity value.
tfidf,agglomerative,123,"{""linkage"": ""ward"", ""n_clusters"": 10}",83.1,,10,0,0.0,0.1117393299937248,1452.3240525163378,2.3298917490400743,,,,,,,primary_k_sensitivity_seed123,10,k,Explicit k/n_components sensitivity value.
tfidf,agglomerative,123,"{""linkage"": ""ward"", ""n_clusters"": 20}",71.375,,20,0,0.0,0.3362551927566528,1678.8894372280083,1.7481588826834902,,,,,,,primary_k_sensitivity_seed123,20,k,Explicit k/n_components sensitivity value.
tfidf,agglomerative,123,"{""linkage"": ""ward"", ""n_clusters"": 50}",65.907,,50,0,0.0,0.6660455465316772,3762.306228926721,0.881686949966071,,,,,,,primary_k_sensitivity_seed123,50,k,Explicit k/n_components sensitivity value.
tfidf,kmeans,123,"{""n_clusters"": 10}",0.692,,10,0,0.0,0.0680504441261291,1318.7713051639385,1.859978139259568,,,,2020332.0,,,primary_k_sensitivity_seed123,10,k,Explicit k/n_components sensitivity value.
tfidf,kmeans,123,"{""n_clusters"": 20}",1.038,,20,0,0.0,0.2266946285963058,1602.869695759113,1.4835758062063955,,,,1553447.75,,,primary_k_sensitivity_seed123,20,k,Explicit k/n_components sensitivity value.
tfidf,kmeans,123,"{""n_clusters"": 50}",2.233,,50,0,0.0,0.6751145720481873,4060.225198633752,0.8759835770295485,,,,501706.25,,,primary_k_sensitivity_seed123,50,k,Explicit k/n_components sensitivity value.
tfidf,dbscan,123,"{""eps"": 0.660681, ""metric"": ""euclidean"", ""min_samples"": 5}",6.862,,636,3923,0.07846,0.924285054206848,76993.68609142226,0.2172887090606224,0.7898582220077515,479.9441764175875,1.0615509873331912,,,,primary_k_sensitivity_seed123,"eps=0.6607, min_samples=5",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,dbscan,123,"{""eps"": 1.362407, ""metric"": ""euclidean"", ""min_samples"": 10}",10.33,,299,4069,0.08138,0.910674214363098,26346.755952297557,0.2373835958110867,0.7842615246772766,886.3734812498986,1.0909016568572474,,,,primary_k_sensitivity_seed123,"eps=1.362, min_samples=10",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,dbscan,123,"{""eps"": 1.943028, ""metric"": ""euclidean"", ""min_samples"": 5}",7.981,,447,1910,0.0382,0.8767380714416504,8718.308198071318,0.3633812194678302,0.8107048869132996,1205.426751817508,1.0952084750788893,,,,primary_k_sensitivity_seed123,"eps=1.943, min_samples=5",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
tfidf,dbscan,123,"{""eps"": 2.892075, ""metric"": ""euclidean"", ""min_samples"": 10}",12.994,,217,1787,0.03574,0.6753673553466797,1961.24381328205,0.7154199163904456,0.6351905465126038,1140.574924846987,1.1533284282658056,,,,primary_k_sensitivity_seed123,"eps=2.892, min_samples=10",density_params,DBSCAN/HDBSCAN do not use k directly; density grid is summarized instead.
